Species,Longitude,Latitude
Spea_hammondii_S,-117.69552,33.62504
Spea_hammondii_S,-117.69522,33.62504
Spea_hammondii_S,-117.6937027,33.62586975
Spea_hammondii_S,-117.6937,33.62587
Spea_hammondii_S,-117.6936,33.62587
Spea_hammondii_S,-117.6612167,33.62591934
Spea_hammondii_S,-117.66122,33.62592
Spea_hammondii_S,-117.6912537,33.62845993
Spea_hammondii_S,-117.69125,33.62846
Spea_hammondii_S,-117.6876221,33.63090897
Spea_hammondii_S,-117.68762,33.63091
Spea_hammondii_S,-117.4991762,33.63617874
Spea_hammondii_S,-117.49918,33.63618
Spea_hammondii_S,-117.4991837,33.63618088
Spea_hammondii_S,-117.0970688,33.63793945
Spea_hammondii_S,-117.09707,33.63794
Spea_hammondii_S,-117.6713791,33.63965988
Spea_hammondii_S,-117.67138,33.63966
Spea_hammondii_S,-117.796639,33.64281
Spea_hammondii_S,-117.794122,33.647421
Spea_hammondii_S,-117.5877,33.6502
Spea_hammondii_S,-117.5877389,33.65028889
Spea_hammondii_S,-117.58774,33.65029
Spea_hammondii_S,-117.587738,33.65029144
Spea_hammondii_S,-117.3272781,33.66809845
Spea_hammondii_S,-117.32728,33.6681
Spea_hammondii_S,-117.0010605,33.67488861
Spea_hammondii_S,-117.0010556,33.67488889
Spea_hammondii_S,-117.7772064,33.67568588
Spea_hammondii_S,-117.691,33.67822
Spea_hammondii_S,-117.61164,33.68144
Spea_hammondii_S,-117.1018295,33.69152832
Spea_hammondii_S,-117.10183,33.69153
Spea_hammondii_S,-117.101833,33.691533
Spea_hammondii_S,-117.37502,33.70806
Spea_hammondii_S,-117.3750229,33.70806122
Spea_hammondii_S,-117.659055,33.715315
Spea_hammondii_S,-117.01868,33.74425
Spea_hammondii_S,-117.0186768,33.74425125
Spea_hammondii_S,-117.709481,33.745564
Spea_hammondii_S,-117.4365997,33.75801849
Spea_hammondii_S,-117.4366,33.75802
Spea_hammondii_S,-117.4365973,33.7580224
Spea_hammondii_S,-117.9896469,33.75917816
Spea_hammondii_S,-117.98965,33.75918
Spea_hammondii_S,-116.90073,33.76432
Spea_hammondii_S,-116.91028,33.76449
Spea_hammondii_S,-118.1175844,33.76986528
Spea_hammondii_S,-118.1175842,33.76986694
Spea_hammondii_S,-118.1169524,33.7698888
Spea_hammondii_S,-118.117851,33.76990594
Spea_hammondii_S,-118.1250628,33.7699187
Spea_hammondii_S,-118.12506,33.76992
Spea_hammondii_S,-118.125061,33.76992035
Spea_hammondii_S,-117.74021,33.77465
Spea_hammondii_S,-117.7402115,33.77465057
Spea_hammondii_S,-117.316014,33.780788
Spea_hammondii_S,-117.3692093,33.7844696
Spea_hammondii_S,-117.36921,33.78447
Spea_hammondii_S,-117.7363,33.7956
Spea_hammondii_S,-117.73545,33.7956
Spea_hammondii_S,-117.7362976,33.79560089
Spea_hammondii_S,-117.7354507,33.79560089
Spea_hammondii_S,-117.3582993,33.81447983
Spea_hammondii_S,-117.3583,33.81448
Spea_hammondii_S,-117.0634781,33.81469482
Spea_hammondii_S,-118.3765182,33.82276154
Spea_hammondii_S,-118.3758846,33.8227933
Spea_hammondii_S,-118.3767917,33.82280887
Spea_hammondii_S,-117.6952333,33.83
Spea_hammondii_S,-117.69523,33.83
Spea_hammondii_S,-117.6952,33.83
Spea_hammondii_S,-117.6952286,33.83000183
Spea_hammondii_S,-117.69521,33.83007
Spea_hammondii_S,-117.25,33.83333206
Spea_hammondii_S,-117.7335833,33.8356
Spea_hammondii_S,-117.73358,33.8356
Spea_hammondii_S,-117.73355,33.8356
Spea_hammondii_S,-117.7335815,33.83560181
Spea_hammondii_S,-117.733551,33.83560181
Spea_hammondii_S,-118.1248245,33.88459015
Spea_hammondii_S,-118.1241949,33.8846213
Spea_hammondii_S,-118.1250958,33.8846365
Spea_hammondii_S,-117.980629,33.88997269
Spea_hammondii_S,-117.98,33.89
Spea_hammondii_S,-117.9808959,33.89001399
Spea_hammondii_S,-117.6445236,33.8903389
Spea_hammondii_S,-117.64452,33.89034
Spea_hammondii_S,-116.8429108,33.90840912
Spea_hammondii_S,-116.84291,33.90841
Spea_hammondii_S,-116.84293,33.9085
Spea_hammondii_S,-116.82887,33.90885
Spea_hammondii_S,-116.8288727,33.90885162
Spea_hammondii_S,-118.3512344,33.91627884
Spea_hammondii_S,-118.3505932,33.9163058
Spea_hammondii_S,-118.3515013,33.91632008
Spea_hammondii_S,-117.107399,33.91941833
Spea_hammondii_S,-117.1074,33.91942
Spea_hammondii_S,-118.3006439,33.93996811
Spea_hammondii_S,-118.3,33.94
Spea_hammondii_S,-118.3009073,33.94001467
Spea_hammondii_S,-117.2833328,33.95000076
Spea_hammondii_S,-117.3961868,33.95338821
Spea_hammondii_S,-117.39619,33.95339
Spea_hammondii_S,-117.2302733,33.96688519
Spea_hammondii_S,-117.33091,33.97338
Spea_hammondii_S,-117.3309097,33.97338104
Spea_hammondii_S,-118.1106339,34.0099678
Spea_hammondii_S,-118.11,34.01
Spea_hammondii_S,-118.1109025,34.01001263
Spea_hammondii_S,-118.4311829,34.02601624
Spea_hammondii_S,-118.4305414,34.0260474
Spea_hammondii_S,-118.4314533,34.02605799
Spea_hammondii_S,-118.4341736,34.05072021
Spea_hammondii_S,-118.434168,34.050723
Spea_hammondii_S,-117.733078,34.1171875
Spea_hammondii_S,-117.73245,34.11722
Spea_hammondii_S,-117.73334,34.11722893
Spea_hammondii_S,-117.9693375,34.1394043
Spea_hammondii_S,-117.968704,34.1394361
Spea_hammondii_S,-117.9696022,34.13944308
Spea_hammondii_S,-118.0531769,34.16200638
Spea_hammondii_S,-118.0525359,34.1620392
Spea_hammondii_S,-118.0534371,34.16204539
Spea_hammondii_S,-118.0509262,34.16309357
Spea_hammondii_S,-118.0502877,34.163126
Spea_hammondii_S,-118.0511888,34.16313214
Spea_hammondii_S,-118.0851059,34.16452408
Spea_hammondii_S,-118.0844726,34.1645585
Spea_hammondii_S,-118.0853749,34.16456472
Spea_hammondii_S,-117.24457,34.16737
Spea_hammondii_S,-118.2618637,34.19639969
Spea_hammondii_S,-117.3316667,34.19777778
Spea_hammondii_S,-117.33167,34.19778
Spea_hammondii_S,-117.3316727,34.19778061
Spea_hammondii_S,-118.82204,34.30071
Spea_hammondii_S,-118.8220389,34.30071389
Spea_hammondii_S,-118.77534,34.30403
Spea_hammondii_S,-118.7753372,34.30403137
Spea_hammondii_S,-118.7753361,34.30403333
Spea_hammondii_S,-118.865715,34.320768
Spea_hammondii_S,-118.4913864,34.36582947
Spea_hammondii_S,-118.49139,34.36583
Spea_hammondii_S,-118.4913889,34.3658333
Spea_hammondii_S,-118.53432,34.42673
Spea_hammondii_S,-118.534317,34.42673111
Spea_hammondii_S,-118.4212189,34.42699432
Spea_hammondii_S,-118.4214839,34.42703087
Spea_hammondii_S,-118.4205685,34.4270351
Spea_hammondii_S,-118.459,34.4738884
Spea_hammondii_S,-118.4586105,34.4738884
Spea_hammondii_S,-118.4523926,34.4740181
Spea_hammondii_S,-118.4523889,34.47401944
Spea_hammondii_S,-118.45239,34.47402
Spea_hammondii_S,-118.641941,34.539786
Spea_hammondii_S,-118.64168,34.53992
Spea_hammondii_N,-120.312748,34.651612
Spea_hammondii_N,-120.1095963,34.66524506
Spea_hammondii_N,-120.1098919,34.66529082
Spea_hammondii_N,-120.1089111,34.66530556
Spea_hammondii_N,-120.4847222,34.7027778
Spea_hammondii_N,-120.48472,34.70278
Spea_hammondii_N,-120.4861145,34.7041664
Spea_hammondii_N,-120.48611,34.70417
Spea_hammondii_N,-120.4861069,34.70417023
Spea_hammondii_N,-120.48473,34.705
Spea_hammondii_N,-120.484726,34.7050018
Spea_hammondii_N,-120.4847336,34.70500183
Spea_hammondii_N,-120.23106,34.71991
Spea_hammondii_N,-120.2681808,34.74069214
Spea_hammondii_N,-120.2684748,34.74074318
Spea_hammondii_N,-120.2674861,34.74076111
Spea_hammondii_N,-120.2794418,34.74443817
Spea_hammondii_N,-120.27944,34.74444
Spea_hammondii_N,-120.2794444,34.7444444
Spea_hammondii_N,-120.15522,34.77773285
Spea_hammondii_N,-120.1555114,34.77777928
Spea_hammondii_N,-120.1545278,34.77779722
Spea_hammondii_N,-120.32111,34.77861
Spea_hammondii_N,-120.3211136,34.77861023
Spea_hammondii_N,-120.3211111,34.7786111
Spea_hammondii_N,-120.321944,34.778808
Spea_hammondii_N,-120.32203,34.77883
Spea_hammondii_N,-120.32889,34.77972
Spea_hammondii_N,-120.3288879,34.77972031
Spea_hammondii_N,-120.3288889,34.7797222
Spea_hammondii_N,-120.3182749,34.78359125
Spea_hammondii_N,-120.3182755,34.78359222
Spea_hammondii_N,-120.3185688,34.78363672
Spea_hammondii_N,-120.3175778,34.78365556
Spea_hammondii_N,-120.3236482,34.78421034
Spea_hammondii_N,-120.32077,34.78681
Spea_hammondii_N,-120.3172222,34.7891667
Spea_hammondii_N,-120.3172226,34.78916931
Spea_hammondii_N,-120.31722,34.78917
Spea_hammondii_N,-120.350563,34.79193878
Spea_hammondii_N,-120.3363876,34.79193878
Spea_hammondii_N,-120.35056,34.79194
Spea_hammondii_N,-120.33639,34.79194
Spea_hammondii_N,-120.3505556,34.7919444
Spea_hammondii_N,-120.3363889,34.7919444
Spea_hammondii_N,-120.392427,34.798604
Spea_hammondii_N,-120.4852778,34.8102778
Spea_hammondii_N,-120.4852829,34.81027985
Spea_hammondii_N,-120.48528,34.81028
Spea_hammondii_N,-120.4858322,34.81082916
Spea_hammondii_N,-120.48583,34.81083
Spea_hammondii_N,-120.4858333,34.8108333
Spea_hammondii_N,-120.3457091,34.81334916
Spea_hammondii_N,-120.5008316,34.81832886
Spea_hammondii_N,-120.50083,34.81833
Spea_hammondii_N,-120.5008333,34.8183333
Spea_hammondii_N,-120.3530556,34.8188889
Spea_hammondii_N,-120.3530579,34.81888962
Spea_hammondii_N,-120.35306,34.81889
Spea_hammondii_N,-120.3529503,34.82114422
Spea_hammondii_N,-120.2977829,34.83221817
Spea_hammondii_N,-120.29778,34.83222
Spea_hammondii_N,-120.2977778,34.8322222
Spea_hammondii_N,-120.392276,34.833839
Spea_hammondii_N,-120.3002777,34.83499908
Spea_hammondii_N,-120.30028,34.835
Spea_hammondii_N,-120.3002778,34.835
Spea_hammondii_N,-120.3013889,34.8355556
Spea_hammondii_N,-120.3013916,34.83555984
Spea_hammondii_N,-120.30139,34.83556
Spea_hammondii_N,-120.30194,34.83583
Spea_hammondii_N,-120.3019409,34.83583069
Spea_hammondii_N,-120.3019444,34.8358333
Spea_hammondii_N,-120.3475863,34.85766902
Spea_hammondii_N,-120.3475876,34.85766983
Spea_hammondii_N,-120.3478826,34.85771981
Spea_hammondii_N,-120.34689,34.85774
Spea_hammondii_N,-120.52314,34.85946
Spea_hammondii_N,-120.2771754,34.86101036
Spea_hammondii_N,-120.2761861,34.86103056
Spea_hammondii_N,-120.33028,34.86444
Spea_hammondii_N,-120.3302765,34.86444092
Spea_hammondii_N,-120.3302778,34.8644444
Spea_hammondii_N,-120.4122222,34.8727778
Spea_hammondii_N,-120.4122162,34.87277985
Spea_hammondii_N,-120.41222,34.87278
Spea_hammondii_N,-120.3525,34.8752778
Spea_hammondii_N,-120.3525009,34.87527847
Spea_hammondii_N,-120.3525,34.87528
Spea_hammondii_N,-120.346005,34.87742295
Spea_hammondii_N,-120.3672222,34.8777778
Spea_hammondii_N,-120.36722,34.87778
Spea_hammondii_N,-120.4296,34.87895
Spea_hammondii_N,-120.510367,34.880424
Spea_hammondii_N,-120.46078,34.88589
Spea_hammondii_N,-120.3155556,34.8988889
Spea_hammondii_N,-120.31556,34.89889
Spea_hammondii_N,-120.3155594,34.89889145
Spea_hammondii_N,-120.5102768,34.90082932
Spea_hammondii_N,-120.51028,34.90083
Spea_hammondii_N,-120.5102778,34.9008333
Spea_hammondii_N,-120.3830556,34.9027778
Spea_hammondii_N,-120.38306,34.90278
Spea_hammondii_N,-120.39528,34.90583
Spea_hammondii_N,-120.3952789,34.90583038
Spea_hammondii_N,-120.3952778,34.9058333
Spea_hammondii_N,-120.5389938,34.90753555
Spea_hammondii_N,-120.5392958,34.90759254
Spea_hammondii_N,-120.5382944,34.90761389
Spea_hammondii_N,-120.5152206,34.91884613
Spea_hammondii_N,-120.5155183,34.91889639
Spea_hammondii_N,-120.5145179,34.9189178
Spea_hammondii_N,-120.432669,34.92896647
Spea_hammondii_N,-120.4326706,34.92896652
Spea_hammondii_N,-120.4319691,34.9290443
Spea_hammondii_N,-118.927778,34.945394
Spea_hammondii_N,-120.434377,34.949683
Spea_hammondii_N,-120.43472,34.95306
